GeneSymbol,Ensemble,Gene description,0H_sorted.bam,1H_sorted.bam,2H_sorted.bam,4H_sorted.bam,8H_sorted.bam,12H_sorted.bam,24H_sorted.bam
FUT8,ENSG00000033170,fucosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:4019],6.308278,8.499926,6.634088,9.48428,10.048317,11.100675,13.4179945
ARID4A,ENSG00000032219,AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885],40.183834,37.280037,42.943977,41.88151,39.854206,41.493767,42.2696
SLC39A9,ENSG00000029364,solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182],14.725985,13.736735,17.126978,14.439071,16.046022,15.201905,15.649747
PRKCH,ENSG00000027075,protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403],1.1529423,1.5706885,0.99862313,1.7194393,1.409509,1.7547096,1.7743376
SNAPC1,ENSG00000023608,small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134],12.790731,9.945015,14.659085,13.764017,15.097614,16.077345,18.789026
ZNF839,ENSG00000022976,zinc finger protein 839 [Source:HGNC Symbol;Acc:HGNC:20345],28.547737,30.746765,24.296274,31.9172,29.52405,30.015818,31.860826
NRXN3,ENSG00000021645,neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010],5.9991117,5.9070816,4.252667,4.7561584,4.1657205,4.971701,3.3183925
SAMD4A,ENSG00000020577,sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023],6.33899,6.362867,6.5447783,7.1169915,6.755515,7.0612526,6.6441803
MNAT1,ENSG00000020426,MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181],5.7902255,6.076287,6.086021,4.811972,5.655757,5.277062,4.595319
CCDC88C,ENSG00000015133,coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967],5.145985,4.3252287,3.565338,3.0581527,1.7728531,2.5596106,1.9418002
ANGEL1,ENSG00000013523,angel homolog 1 [Source:HGNC Symbol;Acc:HGNC:19961],23.908758,26.19215,17.801231,27.138592,26.44646,30.726734,31.836578
MAP4K5,ENSG00000012983,mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867],21.202305,27.172356,21.043085,30.980335,32.1022,36.795704,41.77724
POMT2,ENSG00000009830,protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743],19.247099,25.761679,15.530004,29.897642,24.922209,32.85498,39.707024
MAP3K9,ENSG00000006432,mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861],28.698181,23.813845,19.931488,18.989416,17.480293,16.080364,4.5565095
PCDH20,ENSG00000280165,protocadherin 20 [Source:HGNC Symbol;Acc:HGNC:14257],140.28777,111.82652,168.42552,91.0376,128.07915,105.98692,35.752506
DACH1,ENSG00000276644,dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663],1.647101,1.3062736,1.4832659,1.4013772,1.4846427,1.3973807,0.8366987
UTP14C,ENSG00000253797,UTP14C small subunit processome component [Source:HGNC Symbol;Acc:HGNC:20321],159.14702,157.89174,165.88571,171.71083,170.70065,162.13196,175.10396
ALG11,ENSG00000253710,"ALG11 alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:32456]",83.19578,83.94419,86.52929,88.88518,91.99843,88.91659,92.22598
SERPINE3,ENSG00000253309,serpin family E member 3 [Source:HGNC Symbol;Acc:HGNC:24774],0.55242896,1.0087013,0.34686196,1.573973,1.2992119,1.1771736,2.6571615
FAM206BP,ENSG00000251106,ABITRAM pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39851],3.6968577,4.1539907,2.321202,18.49704,2.2436988,14.004715,40.951885
N4BP2L2,ENSG00000244754,NEDD4 binding protein 2 like 2 [Source:HGNC Symbol;Acc:HGNC:26916],39.607773,44.93816,43.32195,43.882347,47.222477,47.678566,48.506516
FGF14-IT1,ENSG00000243319,FGF14 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:42774],2.6909866,2.3640144,0.7495816,1.1968191,0.98586804,1.3839397,0.604745
C1QTNF9-AS1,ENSG00000240868,C1QTNF9 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39906],0.680967,0.95646447,0.42756906,0.18928798,1.2398785,1.5048194,0.7940422
SUGT1P3,ENSG00000239827,SUGT1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:20513],5.25537,5.7045574,3.2036593,4.6236043,5.9146805,7.5382795,7.7344065
INTS6-AS1,ENSG00000236778,INTS6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42691],0.200004,0.2584457,0.30139092,0.37804595,0.32774365,0.34095162,0.4314475
MCF2L-AS1,ENSG00000235280,MCF2L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39825],11.185682,11.730919,10.300875,11.607968,7.2414083,3.7666175,1.7390769
RNF219-AS1,ENSG00000234377,OBI1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42700],0.3812855,0.41876924,0.33120483,0.37134835,0.3375454,0.33123788,0.20725636
MRPS31P2,ENSG00000232894,mitochondrial ribosomal protein S31 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39252],0.22575912,0.25367525,0.1417508,0.62754124,0.9591249,0.35634905,0.59230494
CTAGE3P,ENSG00000232872,"CTAGE family member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:24348]",53.24459,39.26247,30.297287,42.551056,27.770906,40.44609,25.707447
OGFOD1P1,ENSG00000231665,2-oxoglutarate and iron dependent oxygenase domain containing 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39202],2.6695142,3.5995338,2.011378,4.749077,4.5365124,6.7419033,3.1127896
DLEU2,ENSG00000231607,deleted in lymphocytic leukemia 2 [Source:HGNC Symbol;Acc:HGNC:13748],3.9470258,6.662614,2.571168,9.612831,7.3697596,9.646964,13.027578
EEF1DP3,ENSG00000229715,eukaryotic translation elongation factor 1 delta pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:30486],24.296675,25.86417,9.635066,8.53103,1.5522264,8.073903,7.4555693
ANKRD10-IT1,ENSG00000229152,ANKRD10 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:39891],2.6466696,1.9826281,3.0466418,6.8664694,3.7480757,3.0635958,5.657945
RPS4XP16,ENSG00000224892,ribosomal protein S4X pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36365],1.5380313,2.0424368,3.336079,2.9538133,3.7338512,3.7077641,5.380269
CALM2P3,ENSG00000215482,calmodulin 2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:1448],20.044544,27.528284,16.780895,14.858052,8.110297,11.249519,10.387982
SIAH3,ENSG00000215475,siah E3 ubiquitin protein ligase family member 3 [Source:HGNC Symbol;Acc:HGNC:30553],1.83863,1.5381786,1.6347665,1.1042374,0.9611421,0.94903475,0.17214088
NAXD,ENSG00000213995,NAD(P)HX dehydratase [Source:HGNC Symbol;Acc:HGNC:25576],33.463764,35.311714,36.597202,31.769226,34.732063,36.85233,37.404507
TRIM13,ENSG00000204977,tripartite motif containing 13 [Source:HGNC Symbol;Acc:HGNC:9976],22.363178,21.473433,27.419235,20.796278,24.52952,26.801657,24.796482
MZT1,ENSG00000204899,mitotic spindle organizing protein 1 [Source:HGNC Symbol;Acc:HGNC:33830],7.5273843,6.999872,9.909001,4.848555,7.18361,6.0309286,4.1162577
FAM155A,ENSG00000204442,family with sequence similarity 155 member A [Source:HGNC Symbol;Acc:HGNC:33877],3.7797236,2.7994452,1.9714437,1.8514796,1.8641921,1.792074,0.7959098
CHAMP1,ENSG00000198824,chromosome alignment maintaining phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:20311],57.63664,49.179607,53.55132,55.774025,53.284187,58.26857,55.216763
KCNRG,ENSG00000198553,potassium channel regulator [Source:HGNC Symbol;Acc:HGNC:18893],30.16405,28.54229,44.303062,36.676857,28.0496,38.758156,34.350067
ITGBL1,ENSG00000198542,integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164],0.20502192,0.18848765,0.17320067,0.3523007,0.25791362,0.34832898,0.5215986
TFDP1,ENSG00000198176,transcription factor Dp-1 [Source:HGNC Symbol;Acc:HGNC:11749],13.99045,15.146259,15.289717,12.479798,14.757816,14.240047,13.2111225
MPHOSPH8,ENSG00000196199,M-phase phosphoprotein 8 [Source:HGNC Symbol;Acc:HGNC:29810],72.091095,71.11987,74.27362,72.19113,69.87145,73.60774,66.00676
HMGB1,ENSG00000189403,high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983],8.11093,9.134834,9.147407,9.350071,9.943457,11.199649,11.05217
NHLRC3,ENSG00000188811,NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751],60.57269,62.160824,53.618114,68.85653,65.29897,70.71191,86.732704
GTF2F2,ENSG00000188342,general transcription factor IIF subunit 2 [Source:HGNC Symbol;Acc:HGNC:4653],2.6644928,3.226378,3.002225,3.5916328,3.7807002,4.194241,4.085832
COMMD6,ENSG00000188243,COMM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24015],9.5784645,9.510308,10.472961,8.354804,11.225812,11.678209,12.2281065
B3GLCT,ENSG00000187676,beta 3-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:20207],5.7746673,4.942986,5.609592,4.9500074,6.5324397,5.182672,4.036608
COL4A1,ENSG00000187498,collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202],2.857233,2.8198795,1.8654574,2.4599838,2.2789013,2.6181915,1.4815655
POLR1D,ENSG00000186184,RNA polymerase I and III subunit D [Source:HGNC Symbol;Acc:HGNC:20422],4.631729,3.7486691,5.043581,3.8984501,4.1380053,3.8037357,3.7579217
DLEU7,ENSG00000186047,deleted in lymphocytic leukemia 7 [Source:HGNC Symbol;Acc:HGNC:17567],0.48062703,0.44658703,0.4681437,0.30488116,0.3515388,0.38515815,0.12573877
IRS2,ENSG00000185950,insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126],75.363686,79.37764,61.03024,62.76437,64.68757,65.5059,50.958176
LAMP1,ENSG00000185896,lysosomal associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:6499],73.806465,91.43455,77.38707,96.44909,104.46729,117.27594,132.1148
HS6ST3,ENSG00000185352,heparan sulfate 6-O-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:19134],2.5990887,2.125075,1.7526885,1.1167425,0.8495156,1.0034957,0.22737812
SLITRK6,ENSG00000184564,SLIT and NTRK like family member 6 [Source:HGNC Symbol;Acc:HGNC:23503],0.79153776,1.1319827,0.81326425,1.6001692,2.0089476,1.999042,4.27924
PCDH9,ENSG00000184226,protocadherin 9 [Source:HGNC Symbol;Acc:HGNC:8661],12.739162,15.0327425,11.444744,16.466986,17.765085,18.88668,21.750668
GPC6,ENSG00000183098,glypican 6 [Source:HGNC Symbol;Acc:HGNC:4454],0.45969656,0.4604151,0.3763439,0.33698565,0.3452809,0.30146772,0.17472789
GAS6,ENSG00000183087,growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168],30.532072,28.783192,28.21502,24.471115,26.770985,28.952236,19.796722
SOX1,ENSG00000182968,SRY-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11189],21.111893,15.024233,15.465152,14.866765,9.823485,13.329611,3.6926317
SPATA13,ENSG00000182957,spermatogenesis associated 13 [Source:HGNC Symbol;Acc:HGNC:23222],3.86531,8.463374,3.127243,12.261332,10.0847435,13.793998,18.338573
ZDHHC20,ENSG00000180776,zinc finger DHHC-type palmitoyltransferase 20 [Source:HGNC Symbol;Acc:HGNC:20749],15.023388,23.988245,16.001312,25.36369,28.668566,33.926506,43.338333
SHISA2,ENSG00000180730,shisa family member 2 [Source:HGNC Symbol;Acc:HGNC:20366],3.1080031,8.90542,2.9272037,13.304518,14.524594,12.951369,27.905495
MAB21L1,ENSG00000180660,mab-21 like 1 [Source:HGNC Symbol;Acc:HGNC:6757],7.265522,2.968704,5.8060713,4.406384,5.612211,2.0851362,5.7763424
SERTM1,ENSG00000180440,serine rich and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33792],16.624685,12.264911,15.815747,9.148951,11.414794,8.853093,3.0350614
KCTD4,ENSG00000180332,potassium channel tetramerization domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23227],129.75871,112.666695,164.29381,131.15982,199.8119,178.07265,188.81898
LACC1,ENSG00000179630,laccase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26789],12.560584,31.295721,15.944657,48.956314,45.408215,57.065063,75.38059
GPC5,ENSG00000179399,glypican 5 [Source:HGNC Symbol;Acc:HGNC:4453],0.8548793,0.78766775,0.69298583,0.5630764,0.6056607,0.5461736,0.24426754
KCTD12,ENSG00000178695,potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678],88.83534,110.28962,117.81042,111.09845,122.06659,125.16016,138.80222
SLITRK1,ENSG00000178235,SLIT and NTRK like family member 1 [Source:HGNC Symbol;Acc:HGNC:20297],518.59705,491.34167,482.31842,529.0472,518.37964,530.02277,493.2515
PCNPP5,ENSG00000177197,PEST containing nuclear protein pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:41977],16.632017,18.68864,39.161236,4.6231914,17.665047,28.878054,53.332897
DLEU1,ENSG00000176124,deleted in lymphocytic leukemia 1 [Source:HGNC Symbol;Acc:HGNC:13747],0.065479465,0.07493882,0.042636313,0.13212787,0.0765379,0.07655995,0.1314958
TEX26,ENSG00000175664,testis expressed 26 [Source:HGNC Symbol;Acc:HGNC:28622],2.0072353,1.8358225,1.2310038,1.1678023,1.3315563,1.2673267,0.81646705
PCCA,ENSG00000175198,propionyl-CoA carboxylase subunit alpha [Source:HGNC Symbol;Acc:HGNC:8653],4.77773,5.101238,5.2287846,5.1057053,5.065199,5.5096197,5.528812
LIG4,ENSG00000174405,DNA ligase 4 [Source:HGNC Symbol;Acc:HGNC:6601],122.68984,103.215836,126.0366,93.28378,111.38908,110.21698,108.07042
SLC25A30,ENSG00000174032,solute carrier family 25 member 30 [Source:HGNC Symbol;Acc:HGNC:27371],9.38743,11.218666,13.436842,10.614583,10.477467,10.14627,8.163285
LRRC63,ENSG00000173988,leucine rich repeat containing 63 [Source:HGNC Symbol;Acc:HGNC:34296],0.9935192,2.7995183,1.1900489,5.11548,5.21352,6.021959,10.996782
MRPL57,ENSG00000173141,mitochondrial ribosomal protein L57 [Source:HGNC Symbol;Acc:HGNC:14514],121.54924,102.781746,151.60309,129.65033,130.53668,124.87105,118.671036
NBEA,ENSG00000172915,neurobeachin [Source:HGNC Symbol;Acc:HGNC:7648],18.69485,16.910112,17.982391,14.057932,15.769024,14.8734455,9.143483
NAA16,ENSG00000172766,"N-alpha-acetyltransferase 16, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:26164]",21.029743,22.724598,20.966423,22.401888,24.733091,25.48021,25.691988
IL17D,ENSG00000172458,interleukin 17D [Source:HGNC Symbol;Acc:HGNC:5984],8.53519,9.751341,11.077509,10.073276,7.9294405,7.9479365,6.0048404
TPT1-AS1,ENSG00000170919,TPT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43686],5.41589,6.3013906,2.484095,6.683779,4.7556815,8.900351,8.330695
GPR183,ENSG00000169508,G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128],2.4881425,5.766363,5.3702955,4.5820317,10.193207,7.560252,11.242541
UPF3A,ENSG00000169062,UPF3A regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:20332],48.065407,61.618416,43.609978,66.574,51.777588,66.63936,71.83995
TPTE2P5,ENSG00000168852,transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42356],2.8599885,2.8953552,1.8014815,2.6821363,3.105559,3.8422399,4.006133
OXGR1,ENSG00000165621,oxoglutarate receptor 1 [Source:HGNC Symbol;Acc:HGNC:4531],3.550821,1.7455795,3.9016387,1.357152,1.2122247,2.3820345,1.4232758
KBTBD6,ENSG00000165572,kelch repeat and BTB domain containing 6 [Source:HGNC Symbol;Acc:HGNC:25340],301.27463,265.61475,378.0892,268.6286,304.28076,278.25558,233.75067
AMER2,ENSG00000165566,APC membrane recruitment protein 2 [Source:HGNC Symbol;Acc:HGNC:26360],232.72041,393.83533,242.15468,535.9659,526.6273,616.31665,773.9588
MICU2,ENSG00000165487,mitochondrial calcium uptake 2 [Source:HGNC Symbol;Acc:HGNC:31830],11.023312,11.912707,11.466165,10.890299,12.770857,13.04767,13.376678
SKA3,ENSG00000165480,spindle and kinetochore associated complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20262],2.0036588,2.1535325,3.0631213,1.4044973,1.7976564,1.3750746,1.3713467
CRYL1,ENSG00000165475,crystallin lambda 1 [Source:HGNC Symbol;Acc:HGNC:18246],7.978201,9.396888,9.44335,9.998964,9.594875,10.963167,12.041409
GJB2,ENSG00000165474,gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284],7.121987,4.1039243,6.191709,3.2487292,2.8816533,2.5365858,2.1293848
SUGT1,ENSG00000165416,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:HGNC Symbol;Acc:HGNC:16987]",23.713202,23.498344,26.10489,22.32936,26.668694,28.634157,28.64265
SLITRK5,ENSG00000165300,SLIT and NTRK like family member 5 [Source:HGNC Symbol;Acc:HGNC:20295],130.0617,100.31103,113.53845,85.48927,85.889336,77.66141,30.41058
ADPRHL1,ENSG00000153531,ADP-ribosylhydrolase like 1 [Source:HGNC Symbol;Acc:HGNC:21303],4.154688,3.459643,4.1226254,2.3922434,1.8236321,2.7871327,0.8218481
TEX29,ENSG00000153495,testis expressed 29 [Source:HGNC Symbol;Acc:HGNC:20370],3.56303,3.9235423,4.6085777,2.4166083,2.162476,2.8345253,1.7034167
ING1,ENSG00000153487,inhibitor of growth family member 1 [Source:HGNC Symbol;Acc:HGNC:6062],27.065258,22.146717,24.75066,22.963144,21.291441,20.839563,15.724754
FARP1,ENSG00000152767,"FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]",10.364186,10.509943,9.954093,9.475047,9.120844,9.112753,5.930685
GPR180,ENSG00000152749,G protein-coupled receptor 180 [Source:HGNC Symbol;Acc:HGNC:28899],22.648987,20.448765,26.604492,17.692427,24.014109,20.28574,22.642113
PAN3,ENSG00000152520,poly(A) specific ribonuclease subunit PAN3 [Source:HGNC Symbol;Acc:HGNC:29991],11.324364,14.308091,10.409369,13.626402,12.956513,14.847457,17.48742
USP12,ENSG00000152484,ubiquitin specific peptidase 12 [Source:HGNC Symbol;Acc:HGNC:20485],10.941168,10.954079,12.265797,10.797175,12.786828,12.130877,12.857286
CYSLTR2,ENSG00000152207,cysteinyl leukotriene receptor 2 [Source:HGNC Symbol;Acc:HGNC:18274],1.3561444,1.3675467,0.89516973,0.9472495,0.9708027,1.4051142,1.358325
RNF219,ENSG00000152193,ORC ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:20308],23.29106,21.212368,26.113485,21.138733,22.752588,21.305374,19.933607
CENPJ,ENSG00000151849,centromere protein J [Source:HGNC Symbol;Acc:HGNC:17272],29.20391,29.21817,22.078255,27.98106,24.62892,32.1512,26.616663
PABPC3,ENSG00000151846,poly(A) binding protein cytoplasmic 3 [Source:HGNC Symbol;Acc:HGNC:8556],15.352819,14.597224,12.235141,11.161451,13.260148,15.658652,12.393811
SACS,ENSG00000151835,sacsin molecular chaperone [Source:HGNC Symbol;Acc:HGNC:10519],123.65248,103.33144,127.653725,94.130455,119.515594,102.37834,80.100365
SERP2,ENSG00000151778,stress associated endoplasmic reticulum protein family member 2 [Source:HGNC Symbol;Acc:HGNC:20607],15.550936,14.250088,19.110683,14.886677,13.930151,16.014193,12.702926
CCDC122,ENSG00000151773,coiled-coil domain containing 122 [Source:HGNC Symbol;Acc:HGNC:26478],1.8985528,2.877966,1.5969281,4.600296,3.1741796,5.0662327,6.4534636
TEX30,ENSG00000151287,testis expressed 30 [Source:HGNC Symbol;Acc:HGNC:25188],20.696617,15.598434,24.088476,14.312407,22.671438,20.079199,17.95283
FOXO1,ENSG00000150907,forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819],4.108008,5.1244254,3.7094223,6.2974114,5.109896,6.9208426,8.442041
FAM124A,ENSG00000150510,family with sequence similarity 124 member A [Source:HGNC Symbol;Acc:HGNC:26413],7.6242166,16.68021,6.2476134,24.264175,20.450285,28.06674,39.761158
SAP18,ENSG00000150459,Sin3A associated protein 18 [Source:HGNC Symbol;Acc:HGNC:10530],95.90479,93.6051,112.08311,97.81306,111.17317,109.46559,114.27872
LATS2,ENSG00000150457,large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:HGNC:6515],2.1004844,2.8297248,1.9428413,3.0009682,3.0842593,4.16399,4.8063674
EEF1AKMT1,ENSG00000150456,EEF1A lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27351],4.5325904,3.552724,4.831167,4.4742575,4.5893435,4.1042166,4.30553
TMCO3,ENSG00000150403,transmembrane and coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:20329],23.501652,25.099722,25.048243,27.05796,25.873127,28.485067,31.421196
DCUN1D2,ENSG00000150401,defective in cullin neddylation 1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20328],15.199386,15.863508,13.439491,12.722363,11.470562,14.556604,15.267226
KLHL1,ENSG00000150361,kelch like family member 1 [Source:HGNC Symbol;Acc:HGNC:6352],0.8261829,0.37464333,0.7296336,0.5996888,0.67551345,0.51389533,0.40878963
CUL4A,ENSG00000139842,cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554],25.78247,29.180382,25.939856,29.818157,28.122972,33.435795,31.25118
GRTP1,ENSG00000139835,growth hormone regulated TBC protein 1 [Source:HGNC Symbol;Acc:HGNC:20310],1.4005252,1.2364836,1.5388957,0.9454505,1.6393002,1.3579746,0.5832442
RAB20,ENSG00000139832,"RAB20, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18260]",1.1382155,0.52321136,0.8770934,0.71906614,1.5700146,0.62064856,0.935085
ABHD13,ENSG00000139826,abhydrolase domain containing 13 [Source:HGNC Symbol;Acc:HGNC:20293],35.389854,28.424517,37.232655,27.284908,28.715014,27.960398,26.260422
ZIC5,ENSG00000139800,Zic family member 5 [Source:HGNC Symbol;Acc:HGNC:20322],9.054326,12.183599,12.493132,11.185891,12.211681,10.8688135,5.474418
MBNL2,ENSG00000139793,muscleblind like splicing regulator 2 [Source:HGNC Symbol;Acc:HGNC:16746],20.655869,22.70903,20.274181,25.11732,25.143234,27.319172,30.966488
METTL21C,ENSG00000139780,methyltransferase like 21C [Source:HGNC Symbol;Acc:HGNC:33717],3.9949777,3.078154,4.443429,2.4113314,2.7710104,3.1709492,0.6654783
RBM26,ENSG00000139746,RNA binding motif protein 26 [Source:HGNC Symbol;Acc:HGNC:20327],46.14702,48.58873,44.6035,44.80213,46.910122,49.827824,47.921257
SLAIN1,ENSG00000139737,SLAIN motif family member 1 [Source:HGNC Symbol;Acc:HGNC:26387],40.597393,68.73006,44.58479,90.37889,92.666725,104.12312,130.87326
DIAPH3,ENSG00000139734,diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480],0.07423682,0.13527004,0.14613552,0.11823619,0.121772565,0.06080638,0.046791304
RB1,ENSG00000139687,RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884],21.703623,23.334818,16.41316,20.785358,20.766296,23.191702,23.288607
ESD,ENSG00000139684,esterase D [Source:HGNC Symbol;Acc:HGNC:3465],40.14514,40.511593,45.904984,34.378674,46.761887,45.770485,42.670284
LPAR6,ENSG00000139679,lysophosphatidic acid receptor 6 [Source:HGNC Symbol;Acc:HGNC:15520],5.749211,8.457264,7.5840893,8.4492855,9.642395,9.38973,12.900198
HNRNPA1L2,ENSG00000139675,heterogeneous nuclear ribonucleoprotein A1 like 2 [Source:HGNC Symbol;Acc:HGNC:27067],125.36443,85.17497,103.42715,130.47543,97.31962,137.1363,107.93621
WDFY2,ENSG00000139668,WD repeat and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20482],3.5360563,4.6355233,3.26183,5.8671556,4.6565185,6.422149,7.6928635
BRCA2,ENSG00000139618,BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101],1.3326572,1.5504532,1.6735114,1.5079772,1.8609949,1.2062722,1.6914636
N4BP2L1,ENSG00000139597,NEDD4 binding protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:25037],36.101345,33.519432,34.09228,33.006912,29.65417,33.13774,28.571188
LNX2,ENSG00000139517,ligand of numb-protein X 2 [Source:HGNC Symbol;Acc:HGNC:20421],6.339038,4.6833367,6.277421,3.7848868,4.864019,3.8246434,2.2346823
SLC7A1,ENSG00000139514,solute carrier family 7 member 1 [Source:HGNC Symbol;Acc:HGNC:11057],18.533758,18.416082,15.326875,17.024517,16.165789,20.08119,16.515959
SLC46A3,ENSG00000139508,solute carrier family 46 member 3 [Source:HGNC Symbol;Acc:HGNC:27501],22.584229,25.733452,24.774017,20.465086,23.625828,24.110426,25.100903
MTMR6,ENSG00000139505,myotubularin related protein 6 [Source:HGNC Symbol;Acc:HGNC:7453],45.396923,42.94769,54.334915,39.94451,51.12713,48.687286,47.63604
NUP58,ENSG00000139496,nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261],38.159393,43.08759,41.073803,40.23916,45.036285,45.045235,44.30245
SETDB2,ENSG00000136169,SET domain bifurcated histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:20263],21.252222,21.572035,24.10841,20.555351,23.950766,23.045404,21.096243
LCP1,ENSG00000136167,lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528],3.2576323,6.6934,5.0404963,6.5585666,9.348971,8.47696,10.6359825
RCBTB2,ENSG00000136161,RCC1 and BTB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:1914],13.770373,15.929727,15.704925,17.118166,19.098993,16.93256,17.057228
EDNRB,ENSG00000136160,endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180],21.874102,24.663155,31.610353,22.04337,27.294706,24.245897,18.281229
NUDT15,ENSG00000136159,nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063],12.6369,8.401376,15.472318,7.610788,13.805269,9.0425,9.70072
SPRY2,ENSG00000136158,sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270],191.03087,205.0544,243.54778,161.24492,219.86288,180.67424,150.99127
ITM2B,ENSG00000136156,integral membrane protein 2B [Source:HGNC Symbol;Acc:HGNC:6174],77.25322,83.38251,93.55233,83.215546,93.41939,91.831505,91.37866
SCEL,ENSG00000136155,sciellin [Source:HGNC Symbol;Acc:HGNC:10573],0.2737476,0.25633144,0.40105814,0.10145794,0.19937165,0.18436113,0.18088208
LMO7,ENSG00000136153,LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646],16.388445,14.191337,15.036496,12.51946,13.804421,12.799671,6.8812675
COG3,ENSG00000136152,component of oligomeric golgi complex 3 [Source:HGNC Symbol;Acc:HGNC:18619],25.137875,28.168041,25.970963,28.848364,28.941229,32.253063,32.462482
PHF11,ENSG00000136147,PHD finger protein 11 [Source:HGNC Symbol;Acc:HGNC:17024],12.585401,16.229218,12.944534,18.058182,17.677298,19.108625,23.934584
